total_meters,price,floor,floors_count,rooms_count,location,district,underground
32.0,13590000,10,18,1,1,1,1
35.5,12000000,3,17,1,1,2,2
37.5,7800000,3,19,1,1,2,2
54.8,40948000,8,13,1,1,3,3
26.6,7500000,2,9,1,1,4,4
20.5,4270000,1,22,1,1,5,5
44.4,18000000,2,20,1,1,6,6
41.1,33000000,16,36,1,1,7,7
40.8,11400000,9,16,1,1,8,8
35.0,25800000,8,9,1,1,9,9
29.0,37000000,5,6,1,1,9,10
40.0,11500000,11,20,1,1,10,11
44.5,17900000,4,22,1,1,11,12
36.9,8800000,7,9,1,1,12,13
32.0,16700000,6,9,1,1,13,14
31.0,9500000,3,5,1,1,14,15
34.7,10000000,9,9,1,1,15,16
61.3,42900000,11,12,1,1,16,17
30.1,9999999,5,5,1,1,17,18
38.0,10499000,6,16,1,1,18,19
31.4,9200000,1,5,1,1,19,20
35.0,8500000,8,12,1,1,20,21
70.0,35700000,13,21,1,1,21,22
35.1,15950000,5,12,1,1,22,23
22.54,6500000,11,25,1,1,5,24
40.0,11600000,22,24,1,1,10,11
39.1,10500000,11,18,1,1,23,25
38.1,11900000,11,17,1,1,23,26
32.0,18700000,11,28,1,1,21,27
32.8,8560000,1,9,1,1,15,16
42.7,27700000,8,11,1,1,22,28
34.1,19000000,5,12,1,1,24,29
35.3,8990000,5,12,1,1,25,30
34.0,25700000,4,8,1,1,26,31
31.5,10700000,8,14,1,1,27,32
19.5,4150000,1,22,1,1,5,5
45.3,23900000,9,31,1,1,21,22
46.7,10750000,17,17,1,1,28,33
38.8,22600000,18,24,1,1,29,34
43.3,27200000,10,15,1,1,30,35
39.0,9450000,2,14,1,1,31,36
57.0,35000000,3,29,1,1,29,34
36.0,9900000,9,9,1,1,32,37
34.0,9000000,1,12,1,1,33,38
36.8,20000000,9,12,1,1,16,17
41.0,11500000,2,12,1,1,34,39
39.1,8500000,1,14,1,1,35,40
32.5,13100000,3,9,1,1,36,41
34.9,13000000,9,12,1,1,37,42
